User/Employee ID,SalesmanCode,Full Name Alt1 (Auto),Job Grade,Position Name (TH),Position Level,Job Function,Division Name,Department Department Name,Section Section Name,Monthly Sales compensation,sales incentive ของเดือน,รอบการจ่าย Incentive,รูปแบบการจ่าย
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
,#N/A,,,,,,,,,0,46113,46143,Fix
